Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Micropygia schomburgkii,Gruiformes,Hydrobatinae,Rallidae,maxalalagá,Ocellated Crake,,
Rallus longirostris,Gruiformes,Hydrobatinae,Rallidae,saracura-matraca,Mangrove Rail,,
Aramides ypecaha,Gruiformes,Hydrobatinae,Rallidae,saracuruçu,Giant Wood-Rail,,
Aramides mangle,Gruiformes,Hydrobatinae,Rallidae,saracura-do-mangue,Little Wood-Rail,,
Aramides cajaneus,Gruiformes,Hydrobatinae,Rallidae,saracura-três-potes,Gray-necked Wood-Rail,,
Aramides calopterus,Gruiformes,Hydrobatinae,Rallidae,saracura-de-asa-vermelha,Red-winged Wood-Rail,,
Aramides saracura,Gruiformes,Hydrobatinae,Rallidae,saracura-do-mato,Slaty-breasted Wood-Rail,,
Amaurolimnas concolor,Gruiformes,Hydrobatinae,Rallidae,saracura-lisa,Uniform Crake,,
Anurolimnas castaneiceps,Gruiformes,Hydrobatinae,Rallidae,sanã-de-cabeça-castanha,Chestnut-headed Crake,,
Laterallus viridis,Gruiformes,Hydrobatinae,Rallidae,sanã-castanha,Russet-crowned Crake,,
Laterallus fasciatus,Gruiformes,Hydrobatinae,Rallidae,sanã-zebrada,Black-banded Crake,,
Laterallus melanophaius,Gruiformes,Hydrobatinae,Rallidae,sanã-parda,Rufous-sided Crake,,
Laterallus exilis,Gruiformes,Hydrobatinae,Rallidae,sanã-do-capim,Gray-breasted Crake,,
Laterallus jamaicensis,Gruiformes,Hydrobatinae,Rallidae,sanã-preta,Black Rail,NT,
Laterallus leucopyrrhus,Gruiformes,Hydrobatinae,Rallidae,sanã-vermelha,Red-and-white Crake,,
Laterallus xenopterus,Gruiformes,Hydrobatinae,Rallidae,sanã-de-cara-ruiva,Rufous-faced Crake,VU,
Porzana flaviventer,Gruiformes,Hydrobatinae,Rallidae,sanã-amarela,Yellow-breasted Crake,,
Porzana spiloptera,Gruiformes,Hydrobatinae,Rallidae,sanã-cinza,Dot-winged Crake,VU,
Mustelirallus albicollis,Gruiformes,Hydrobatinae,Rallidae,sanã-carijó,Ash-throated Crake,,
Neocrex erythrops,Gruiformes,Hydrobatinae,Rallidae,turu-turu,Paint-billed Crake,,
Crex crex,Gruiformes,Hydrobatinae,Rallidae,codornizão,Corn Crake,,
Pardirallus maculatus,Gruiformes,Hydrobatinae,Rallidae,saracura-carijó,Spotted Rail,,
Pardirallus nigricans,Gruiformes,Hydrobatinae,Rallidae,saracura-sanã,Blackish Rail,,
Pardirallus sanguinolentus,Gruiformes,Hydrobatinae,Rallidae,saracura-do-banhado,Plumbeous Rail,,
Gallinula galeata,Gruiformes,Hydrobatinae,Rallidae,galinha-d'água,Common Gallinule,,
Gallinula angulata,Gruiformes,Hydrobatinae,Rallidae,galinha-d'água-pequena,Lesser Moorhen,,
Porphyriops melanops,Gruiformes,Hydrobatinae,Rallidae,galinha-d'água-carijó,Spot-flanked Gallinule,,
Porphyrio martinicus,Gruiformes,Hydrobatinae,Rallidae,frango-d'água-azul,Purple Gallinule,,
Porphyrio flavirostris,Gruiformes,Hydrobatinae,Rallidae,frango-d'água-pequeno,Azure Gallinule,,
Fulica armillata,Gruiformes,Hydrobatinae,Rallidae,carqueja-de-bico-manchado,Red-gartered Coot,,
Fulica rufifrons,Gruiformes,Hydrobatinae,Rallidae,carqueja-de-escudo-vermelho,Red-fronted Coot,,
Fulica leucoptera,Gruiformes,Hydrobatinae,Rallidae,carqueja-de-bico-amarelo,White-winged Coot,,
Heliornis fulica,Gruiformes,Hydrobatinae,Heliornithidae,picaparra,Sungrebe,,
Vanellus cayanus,Charadriiformes,Hydrobatinae,Charadriidae,mexeriqueira,Pied Lapwing,,
Vanellus chilensis,Charadriiformes,Hydrobatinae,Charadriidae,quero-quero,Southern Lapwing,,
Pluvialis dominica,Charadriiformes,Hydrobatinae,Charadriidae,batuiruçu,American Golden-Plover,,
Pluvialis squatarola,Charadriiformes,Hydrobatinae,Charadriidae,batuiruçu-de-axila-preta,Black-bellied Plover,,
Charadrius semipalmatus,Charadriiformes,Hydrobatinae,Charadriidae,batuíra-de-bando,Semipalmated Plover,,
Charadrius wilsonia,Charadriiformes,Hydrobatinae,Charadriidae,batuíra-bicuda,Wilson's Plover,,
Charadrius collaris,Charadriiformes,Hydrobatinae,Charadriidae,batuíra-de-coleira,Collared Plover,,
Charadrius falklandicus,Charadriiformes,Hydrobatinae,Charadriidae,batuíra-de-coleira-dupla,Two-banded Plover,,
Charadrius modestus,Charadriiformes,Hydrobatinae,Charadriidae,batuíra-de-peito-tijolo,Rufous-chested Dotterel,,
Oreopholus ruficollis,Charadriiformes,Hydrobatinae,Charadriidae,batuíra-de-papo-ferrugíneo,Tawny-throated Dotterel,,
Haematopus palliatus,Charadriiformes,Hydrobatinae,Haematopodidae,piru-piru,American Oystercatcher,,
Himantopus mexicanus,Charadriiformes,Hydrobatinae,Recurvirostridae,pernilongo-de-costas-negras,Black-necked Stilt,,
Himantopus melanurus,Charadriiformes,Hydrobatinae,Recurvirostridae,pernilongo-de-costas-brancas,White-backed Stilt,,
Burhinus bistriatus,Charadriiformes,Hydrobatinae,Burhinidae,téu-téu-da-savana,Double-striped Thick-knee,,
Chionis albus,Charadriiformes,Hydrobatinae,Chionidae,pomba-antártica,Snowy Sheathbill,,
Gallinago paraguaiae,Charadriiformes,Hydrobatinae,Scolopacidae,narceja,South American Snipe,,
Gallinago undulata,Charadriiformes,Hydrobatinae,Scolopacidae,narcejão,Giant Snipe,,
Limnodromus griseus,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-costas-brancas,Short-billed Dowitcher,,
Limosa haemastica,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-bico-virado,Hudsonian Godwit,,
Limosa lapponica,Charadriiformes,Hydrobatinae,Scolopacidae,fuselo,Bar-tailed Godwit,NT,
Limosa fedoa,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-marmóreo,Marbled Godwit,,
Numenius borealis,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-esquimó,Eskimo Curlew,CR(PE),
Numenius hudsonicus,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-bico-torto,American Whimbrel,,
Numenius phaeopus,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-galego,Eurasian Whimbrel,,
Bartramia longicauda,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-do-campo,Upland Sandpiper,,
Xenus cinereus,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-tereque,Terek Sandpiper,,
Actitis macularius,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-pintado,Spotted Sandpiper,,
Tringa solitaria,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-solitário,Solitary Sandpiper,,
Tringa melanoleuca,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-grande-de-perna-amarela,Greater Yellowlegs,,
Tringa semipalmata,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-asa-branca,Willet,,
Tringa flavipes,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-perna-amarela,Lesser Yellowlegs,,
Tringa totanus,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-perna-vermelha,Common Redshank,,
Arenaria interpres,Charadriiformes,Hydrobatinae,Scolopacidae,vira-pedras,Ruddy Turnstone,,
Calidris canutus,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-papo-vermelho,Red Knot,NT,
Calidris alba,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-branco,Sanderling,,
Calidris pusilla,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-rasteirinho,Semipalmated Sandpiper,NT,
Calidris minutilla,Charadriiformes,Hydrobatinae,Scolopacidae,maçariquinho,Least Sandpiper,,
Calidris fuscicollis,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-sobre-branco,White-rumped Sandpiper,,
Calidris bairdii,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-bico-fino,Baird's Sandpiper,,
Calidris melanotos,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-de-colete,Pectoral Sandpiper,,
Calidris himantopus,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-pernilongo,Stilt Sandpiper,,
Calidris subruficollis,Charadriiformes,Hydrobatinae,Scolopacidae,maçarico-acanelado,Buff-breasted Sandpiper,NT,
Calidris pugnax,Charadriiformes,Hydrobatinae,Scolopacidae,combatente,Ruff,,
Phalaropus tricolor,Charadriiformes,Hydrobatinae,Scolopacidae,pisa-n'água,Wilson's Phalarope,,
Phalaropus fulicarius,Charadriiformes,Hydrobatinae,Scolopacidae,falaropo-de-bico-grosso,Red Phalarope,,
Thinocorus rumicivorus,Charadriiformes,Hydrobatinae,Thinocoridae,agachadeira-mirim,Least Seedsnipe,,
Jacana jacana,Charadriiformes,Hydrobatinae,Jacanidae,jaçanã,Wattled Jacana,,
Nycticryphes semicollaris,Charadriiformes,Hydrobatinae,Rostratulidae,narceja-de-bico-torto,South American Painted-Snipe,,
Glareola pratincola,Charadriiformes,Hydrobatinae,Glareolidae,perdiz-do-mar,Collared Pratincole,,
Stercorarius skua,Charadriiformes,Hydrobatinae,Stercorariidae,mandrião-grande,Great Skua,,
Stercorarius chilensis,Charadriiformes,Hydrobatinae,Stercorariidae,mandrião-chileno,Chilean Skua,,
Stercorarius maccormicki,Charadriiformes,Hydrobatinae,Stercorariidae,mandrião-do-sul,South Polar Skua,,
Stercorarius antarcticus,Charadriiformes,Hydrobatinae,Stercorariidae,mandrião-antártico,Brown Skua,,
Stercorarius pomarinus,Charadriiformes,Hydrobatinae,Stercorariidae,mandrião-pomarino,Pomarine Jaeger,,
Stercorarius parasiticus,Charadriiformes,Hydrobatinae,Stercorariidae,mandrião-parasítico,Parasitic Jaeger,,
Stercorarius longicaudus,Charadriiformes,Hydrobatinae,Stercorariidae,mandrião-de-cauda-comprida,Long-tailed Jaeger,,
Xema sabini,Charadriiformes,Hydrobatinae,Laridae,gaivota-de-sabine,Sabine's Gull,,
Chroicocephalus maculipennis,Charadriiformes,Hydrobatinae,Laridae,gaivota-maria-velha,Brown-hooded Gull,,
Chroicocephalus cirrocephalus,Charadriiformes,Hydrobatinae,Laridae,gaivota-de-cabeça-cinza,Gray-hooded Gull,,
Leucophaeus atricilla,Charadriiformes,Hydrobatinae,Laridae,gaivota-alegre,Laughing Gull,,
Leucophaeus pipixcan,Charadriiformes,Hydrobatinae,Laridae,gaivota-de-franklin,Franklin's Gull,,
Larus atlanticus,Charadriiformes,Hydrobatinae,Laridae,gaivota-de-rabo-preto,Olrog's Gull,NT,
Larus delawarensis,Charadriiformes,Hydrobatinae,Laridae,gaivota-de-bico-riscado,Ring-billed Gull,,
Larus dominicanus,Charadriiformes,Hydrobatinae,Laridae,gaivotão,Kelp Gull,,
Larus fuscus,Charadriiformes,Hydrobatinae,Laridae,gaivota-da-asa-escura,Lesser Black-backed Gull,,
Anous stolidus,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-escuro,Brown Noddy,,
Anous minutus,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-preto,Black Noddy,,
Gygis alba,Charadriiformes,Hydrobatinae,Sternidae,grazina,White Tern,,
Onychoprion fuscatus,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-das-rocas,Sooty Tern,,
Sternula antillarum,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-miúdo,Least Tern,,
Sternula superciliaris,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-pequeno,Yellow-billed Tern,,
Phaetusa simplex,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-grande,Large-billed Tern,,
Gelochelidon nilotica,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-de-bico-preto,Gull-billed Tern,,
Chlidonias leucopterus,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-negro-de-asa-branca,White-winged Tern,,
Chlidonias niger,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-negro,Black Tern,,
Sterna hirundo,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-boreal,Common Tern,,
Sterna dougallii,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-róseo,Roseate Tern,,
Sterna paradisaea,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-ártico,Arctic Tern,,
Sterna hirundinacea,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-de-bico-vermelho,South American Tern,,
Sterna vittata,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-antártico,Antarctic Tern,,
Sterna trudeaui,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-de-coroa-branca,Snowy-crowned Tern,,
Thalasseus acuflavidus,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-de-bando,Cabot's Tern,,
Thalasseus maximus,Charadriiformes,Hydrobatinae,Sternidae,trinta-réis-real,Royal Tern,,
Rynchops niger,Charadriiformes,Hydrobatinae,Rynchopidae,talha-mar,Black Skimmer,,
Columbina passerina,Columbiformes,Hydrobatinae,Columbidae,rolinha-cinzenta,Common Ground-Dove,,
Columbina minuta,Columbiformes,Hydrobatinae,Columbidae,rolinha-de-asa-canela,Plain-breasted Ground-Dove,,
Columbina talpacoti,Columbiformes,Hydrobatinae,Columbidae,rolinha,Ruddy Ground-Dove,,
Columbina squammata,Columbiformes,Hydrobatinae,Columbidae,fogo-apagou,Scaled Dove,,
Columbina picui,Columbiformes,Hydrobatinae,Columbidae,rolinha-picuí,Picui Ground-Dove,,
Columbina cyanopis,Columbiformes,Hydrobatinae,Columbidae,rolinha-do-planalto,Blue-eyed Ground-Dove,CR,
Claravis pretiosa,Columbiformes,Hydrobatinae,Columbidae,pararu-azul,Blue Ground-Dove,,
Claravis geoffroyi,Columbiformes,Hydrobatinae,Columbidae,pararu-espelho,Purple-winged Ground-Dove,CR,
Uropelia campestris,Columbiformes,Hydrobatinae,Columbidae,rolinha-vaqueira,Long-tailed Ground-Dove,,
Columba livia,Columbiformes,Hydrobatinae,Columbidae,pombo-doméstico,Rock Pigeon,,
Patagioenas speciosa,Columbiformes,Hydrobatinae,Columbidae,pomba-trocal,Scaled Pigeon,,
Patagioenas picazuro,Columbiformes,Hydrobatinae,Columbidae,asa-branca,Picazuro Pigeon,,
Patagioenas maculosa,Columbiformes,Hydrobatinae,Columbidae,pomba-do-orvalho,Spot-winged Pigeon,,
Patagioenas fasciata,Columbiformes,Hydrobatinae,Columbidae,pomba-de-coleira,Band-tailed Pigeon,,
Patagioenas cayennensis,Columbiformes,Hydrobatinae,Columbidae,pomba-galega,Pale-vented Pigeon,,
Patagioenas plumbea,Columbiformes,Hydrobatinae,Columbidae,pomba-amargosa,Plumbeous Pigeon,,
Patagioenas subvinacea,Columbiformes,Hydrobatinae,Columbidae,pomba-botafogo,Ruddy Pigeon,VU,
Zenaida auriculata,Columbiformes,Hydrobatinae,Columbidae,avoante,Eared Dove,,
Leptotila verreauxi,Columbiformes,Hydrobatinae,Columbidae,juriti-pupu,White-tipped Dove,,
Leptotila rufaxilla,Columbiformes,Hydrobatinae,Columbidae,juriti-de-testa-branca,Gray-fronted Dove,,
Geotrygon saphirina,Columbiformes,Hydrobatinae,Columbidae,juriti-safira,Sapphire Quail-Dove,,
Geotrygon violacea,Columbiformes,Hydrobatinae,Columbidae,juriti-vermelha,Violaceous Quail-Dove,,
Geotrygon montana,Columbiformes,Hydrobatinae,Columbidae,pariri,Ruddy Quail-Dove,,
Opisthocomus hoazin,Opisthocomiformes,Hydrobatinae,Opisthocomidae,cigana,Hoatzin,,
Coccycua minuta,Cuculiformes,Cuculinae,Cuculidae,chincoã-pequeno,Little Cuckoo,,
Micrococcyx pumilus,Cuculiformes,Cuculinae,Cuculidae,papa-lagarta-de-papo-ferrugem,Dwarf Cuckoo,,
Micrococcyx cinereus,Cuculiformes,Cuculinae,Cuculidae,papa-lagarta-cinzento,Ash-colored Cuckoo,,
Piaya cayana,Cuculiformes,Cuculinae,Cuculidae,alma-de-gato,Squirrel Cuckoo,,
Piaya melanogaster,Cuculiformes,Cuculinae,Cuculidae,chincoã-de-bico-vermelho,Black-bellied Cuckoo,,
Coccyzus melacoryphus,Cuculiformes,Cuculinae,Cuculidae,papa-lagarta,Dark-billed Cuckoo,,
Coccyzus americanus,Cuculiformes,Cuculinae,Cuculidae,papa-lagarta-de-asa-vermelha,Yellow-billed Cuckoo,,
Coccyzus euleri,Cuculiformes,Cuculinae,Cuculidae,papa-lagarta-de-euler,Pearly-breasted Cuckoo,,
Coccyzus minor,Cuculiformes,Cuculinae,Cuculidae,papa-lagarta-do-mangue,Mangrove Cuckoo,,
Coccyzus erythropthalmus,Cuculiformes,Cuculinae,Cuculidae,papa-lagarta-de-bico-preto,Black-billed Cuckoo,,
Crotophaga major,Cuculiformes,Crotophaginae,Cuculidae,anu-coroca,Greater Ani,,
Crotophaga ani,Cuculiformes,Crotophaginae,Cuculidae,anu-preto,Smooth-billed Ani,,
Guira guira,Cuculiformes,Crotophaginae,Cuculidae,anu-branco,Guira Cuckoo,,
Tapera naevia,Cuculiformes,Taperinae,Cuculidae,saci,Striped Cuckoo,,
Dromococcyx phasianellus,Cuculiformes,Taperinae,Cuculidae,peixe-frito,Pheasant Cuckoo,,
Dromococcyx pavoninus,Cuculiformes,Taperinae,Cuculidae,peixe-frito-pavonino,Pavonine Cuckoo,,
Neomorphus geoffroyi,Cuculiformes,Neomorphinae,Cuculidae,jacu-estalo,Rufous-vented Ground-Cuckoo,VU,
Neomorphus squamiger,Cuculiformes,Neomorphinae,Cuculidae,jacu-estalo-escamoso,Scaled Ground-Cuckoo,,
Neomorphus rufipennis,Cuculiformes,Neomorphinae,Cuculidae,jacu-estalo-de-asa-vermelha,Rufous-winged Ground-Cuckoo,,
Neomorphus pucheranii,Cuculiformes,Neomorphinae,Cuculidae,jacu-estalo-de-bico-vermelho,Red-billed Ground-Cuckoo,,
Tyto furcata,Strigiformes,Neomorphinae,Tytonidae,suindara,American Barn Owl,,
Megascops choliba,Strigiformes,Neomorphinae,Strigidae,corujinha-do-mato,Tropical Screech-Owl,,
Megascops watsonii,Strigiformes,Neomorphinae,Strigidae,corujinha-orelhuda,Tawny-bellied Screech-Owl,,
Megascops usta,Strigiformes,Neomorphinae,Strigidae,corujinha-relógio,Austral Screech-Owl,,
Megascops atricapilla,Strigiformes,Neomorphinae,Strigidae,corujinha-sapo,Black-capped Screech-Owl,,
Megascops sanctaecatarinae,Strigiformes,Neomorphinae,Strigidae,corujinha-do-sul,Long-tufted Screech-Owl,,
Megascops guatemalae,Strigiformes,Neomorphinae,Strigidae,corujinha-de-roraima,Vermiculated Screech-Owl,,
Lophostrix cristata,Strigiformes,Neomorphinae,Strigidae,coruja-de-crista,Crested Owl,,
Pulsatrix perspicillata,Strigiformes,Neomorphinae,Strigidae,murucututu,Spectacled Owl,,
Pulsatrix koeniswaldiana,Strigiformes,Neomorphinae,Strigidae,murucututu-de-barriga-amarela,Tawny-browed Owl,,
Bubo virginianus,Strigiformes,Neomorphinae,Strigidae,jacurutu,Great Horned Owl,,
Strix hylophila,Strigiformes,Neomorphinae,Strigidae,coruja-listrada,Rusty-barred Owl,NT,
Strix virgata,Strigiformes,Neomorphinae,Strigidae,coruja-do-mato,Mottled Owl,,
Strix huhula,Strigiformes,Neomorphinae,Strigidae,coruja-preta,Black-banded Owl,,
Glaucidium hardyi,Strigiformes,Neomorphinae,Strigidae,caburé-da-amazônia,Amazonian Pygmy-Owl,,
Glaucidium mooreorum,Strigiformes,Neomorphinae,Strigidae,caburé-de-pernambuco,Pernambuco Pygmy-Owl,CR,
Glaucidium minutissimum,Strigiformes,Neomorphinae,Strigidae,caburé-miudinho,Least Pygmy-Owl,,
Glaucidium brasilianum,Strigiformes,Neomorphinae,Strigidae,caburé,Ferruginous Pygmy-Owl,,
Athene cunicularia,Strigiformes,Neomorphinae,Strigidae,coruja-buraqueira,Burrowing Owl,,
Aegolius harrisii,Strigiformes,Neomorphinae,Strigidae,caburé-acanelado,Buff-fronted Owl,,
Asio clamator,Strigiformes,Neomorphinae,Strigidae,coruja-orelhuda,Striped Owl,,
Asio stygius,Strigiformes,Neomorphinae,Strigidae,mocho-diabo,Stygian Owl,,
Asio flammeus,Strigiformes,Neomorphinae,Strigidae,mocho-dos-banhados,Short-eared Owl,,
Steatornis caripensis,Steatornithiformes,Neomorphinae,Steatornithidae,guácharo,Oilbird,,
Nyctibius grandis,Nyctibiiformes,Neomorphinae,Nyctibiidae,urutau-grande,Great Potoo,,
Nyctibius aethereus,Nyctibiiformes,Neomorphinae,Nyctibiidae,urutau-pardo,Long-tailed Potoo,,
Nyctibius griseus,Nyctibiiformes,Neomorphinae,Nyctibiidae,urutau,Common Potoo,,
Nyctibius leucopterus,Nyctibiiformes,Neomorphinae,Nyctibiidae,urutau-de-asa-branca,White-winged Potoo,,
Nyctibius bracteatus,Nyctibiiformes,Neomorphinae,Nyctibiidae,urutau-ferrugem,Rufous Potoo,,
Nyctiphrynus ocellatus,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-ocelado,Ocellated Poorwill,,
Antrostomus rufus,Caprimulgiformes,Neomorphinae,Caprimulgidae,joão-corta-pau,Rufous Nightjar,,
Antrostomus sericocaudatus,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-rabo-de-seda,Silky-tailed Nightjar,,
Lurocalis semitorquatus,Caprimulgiformes,Neomorphinae,Caprimulgidae,tuju,Short-tailed Nighthawk,,
Nyctiprogne leucopyga,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-de-cauda-barrada,Band-tailed Nighthawk,,
Nyctiprogne vielliardi,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-do-são-francisco,Bahian Nighthawk,,
Nyctidromus nigrescens,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-de-lajeado,Blackish Nightjar,,
Nyctidromus albicollis,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau,Common Pauraque,,
Nyctidromus hirundinaceus,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurauzinho-da-caatinga,Pygmy Nightjar,,
Hydropsalis parvula,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-chintã,Little Nightjar,,
Hydropsalis whitelyi,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-dos-tepuis,Roraiman Nightjar,,
Hydropsalis anomala,Caprimulgiformes,Neomorphinae,Caprimulgidae,curiango-do-banhado,Sickle-winged Nightjar,NT,
Hydropsalis candicans,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-de-rabo-branco,White-winged Nightjar,EN,
Hydropsalis roraimae,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-de-roraima,Tepui Nightjar,,
Hydropsalis longirostris,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-da-telha,Band-winged Nightjar,,
Hydropsalis maculicaudus,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-de-rabo-maculado,Spot-tailed Nightjar,,
Hydropsalis cayennensis,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-de-cauda-branca,White-tailed Nightjar,,
Hydropsalis climacocerca,Caprimulgiformes,Neomorphinae,Caprimulgidae,acurana,Ladder-tailed Nightjar,,
Hydropsalis torquata,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-tesoura,Scissor-tailed Nightjar,,
Hydropsalis forcipata,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-tesourão,Long-trained Nightjar,,
Nannochordeiles pusillus,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurauzinho,Least Nighthawk,,
Podager nacunda,Caprimulgiformes,Neomorphinae,Caprimulgidae,corucão,Nacunda Nighthawk,,
Chordeiles minor,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-norte-americano,Common Nighthawk,,
Chordeiles rupestris,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-da-praia,Sand-colored Nighthawk,,
Chordeiles acutipennis,Caprimulgiformes,Neomorphinae,Caprimulgidae,bacurau-de-asa-fina,Lesser Nighthawk,,
Cypseloides cryptus,Apodiformes,Neomorphinae,Apodidae,taperuçu-de-mento-branco,White-chinned Swift,,
Cypseloides niger,Apodiformes,Neomorphinae,Apodidae,taperuçu-escuro,Black Swift,VU,
Cypseloides lemosi,Apodiformes,Neomorphinae,Apodidae,taperuçu-de-peito-branco,White-chested Swift,,
Cypseloides fumigatus,Apodiformes,Neomorphinae,Apodidae,taperuçu-preto,Sooty Swift,,
Cypseloides senex,Apodiformes,Neomorphinae,Apodidae,taperuçu-velho,Great Dusky Swift,,
Streptoprocne phelpsi,Apodiformes,Neomorphinae,Apodidae,taperuçu-dos-tepuis,Tepui Swift,,
Streptoprocne zonaris,Apodiformes,Neomorphinae,Apodidae,taperuçu-de-coleira-branca,White-collared Swift,,
Streptoprocne biscutata,Apodiformes,Neomorphinae,Apodidae,taperuçu-de-coleira-falha,Biscutate Swift,,
Chaetura spinicaudus,Apodiformes,Neomorphinae,Apodidae,andorinhão-de-sobre-branco,Band-rumped Swift,,
Chaetura cinereiventris,Apodiformes,Neomorphinae,Apodidae,andorinhão-de-sobre-cinzento,Gray-rumped Swift,,
Chaetura egregia,Apodiformes,Neomorphinae,Apodidae,taperá-de-garganta-branca,Pale-rumped Swift,,
Chaetura pelagica,Apodiformes,Neomorphinae,Apodidae,andorinhão-pelágico,Chimney Swift,VU,
Chaetura chapmani,Apodiformes,Neomorphinae,Apodidae,andorinhão-de-chapman,Chapman's Swift,,
Chaetura viridipennis,Apodiformes,Neomorphinae,Apodidae,andorinhão-da-amazônia,Amazonian Swift,,
Chaetura meridionalis,Apodiformes,Neomorphinae,Apodidae,andorinhão-do-temporal,Sick's Swift,,
Chaetura brachyura,Apodiformes,Neomorphinae,Apodidae,andorinhão-de-rabo-curto,Short-tailed Swift,,
Aeronautes montivagus,Apodiformes,Neomorphinae,Apodidae,andorinhão-serrano,White-tipped Swift,,
Tachornis squamata,Apodiformes,Neomorphinae,Apodidae,andorinhão-do-buriti,Fork-tailed Palm-Swift,,
Panyptila cayennensis,Apodiformes,Neomorphinae,Apodidae,andorinhão-estofador,Lesser Swallow-tailed Swift,,
Ramphodon naevius,Apodiformes,Phaethornithinae,Trochilidae,beija-flor-rajado,Saw-billed Hermit,NT,
Glaucis dohrnii,Apodiformes,Phaethornithinae,Trochilidae,balança-rabo-canela,Hook-billed Hermit,EN,
Glaucis hirsutus,Apodiformes,Phaethornithinae,Trochilidae,balança-rabo-de-bico-torto,Rufous-breasted Hermit,,
Threnetes leucurus,Apodiformes,Phaethornithinae,Trochilidae,balança-rabo-de-garganta-preta,Pale-tailed Barbthroat,,
Threnetes niger,Apodiformes,Phaethornithinae,Trochilidae,balança-rabo-escuro,Sooty Barbthroat,,
Anopetia gounellei,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-de-cauda-larga,Broad-tipped Hermit,,
Phaethornis squalidus,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-pequeno,Dusky-throated Hermit,,
Phaethornis maranhaoensis,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-do-maranhão,Maranhao Hermit,,
Phaethornis rupurumii,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-do-rupununi,Streak-throated Hermit,,
Phaethornis aethopygus,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-de-garganta-escura,Tapajos Hermit,VU,
Phaethornis idaliae,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-mirim,Minute Hermit,,
Phaethornis nattereri,Apodiformes,Phaethornithinae,Trochilidae,besourão-de-sobre-amarelo,Cinnamon-throated Hermit,,
