Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Ortalis motmot,Galliformes,Anatinae,Cracidae,aracuã-pequeno,Variable Chachalaca,,
Ortalis superciliaris,Galliformes,Anatinae,Cracidae,aracuã-de-sobrancelhas,Buff-browed Chachalaca,,
Nothocrax urumutum,Galliformes,Anatinae,Cracidae,urumutum,Nocturnal Curassow,,
Crax alector,Galliformes,Anatinae,Cracidae,mutum-poranga,Black Curassow,VU,
Crax globulosa,Galliformes,Anatinae,Cracidae,mutum-de-fava,Wattled Curassow,EN,
Crax fasciolata,Galliformes,Anatinae,Cracidae,mutum-de-penacho,Bare-faced Curassow,VU,
Crax blumenbachii,Galliformes,Anatinae,Cracidae,mutum-de-bico-vermelho,Red-billed Curassow,EN,
Pauxi tomentosa,Galliformes,Anatinae,Cracidae,mutum-do-norte,Crestless Curassow,NT,
Pauxi tuberosa,Galliformes,Anatinae,Cracidae,mutum-cavalo,Razor-billed Curassow,,
Pauxi mitu,Galliformes,Anatinae,Cracidae,mutum-do-nordeste,Alagoas Curassow,EW,
Colinus cristatus,Galliformes,Anatinae,Odontophoridae,uru-do-campo,Crested Bobwhite,,
Odontophorus gujanensis,Galliformes,Anatinae,Odontophoridae,uru-corcovado,Marbled Wood-Quail,NT,
Odontophorus capueira,Galliformes,Anatinae,Odontophoridae,uru,Spot-winged Wood-Quail,,
Odontophorus stellatus,Galliformes,Anatinae,Odontophoridae,uru-de-topete,Starred Wood-Quail,,
Rollandia rolland,Podicipediformes,Anatinae,Podicipedidae,mergulhão-de-orelha-branca,White-tufted Grebe,,
Tachybaptus dominicus,Podicipediformes,Anatinae,Podicipedidae,mergulhão-pequeno,Least Grebe,,
Podilymbus podiceps,Podicipediformes,Anatinae,Podicipedidae,mergulhão-caçador,Pied-billed Grebe,,
Podicephorus major,Podicipediformes,Anatinae,Podicipedidae,mergulhão-grande,Great Grebe,,
Podiceps occipitalis,Podicipediformes,Anatinae,Podicipedidae,mergulhão-de-orelha-amarela,Silvery Grebe,,
Phoenicopterus ruber,Phoenicopteriformes,Anatinae,Phoenicopteridae,flamingo,American Flamingo,,
Phoenicopterus chilensis,Phoenicopteriformes,Anatinae,Phoenicopteridae,flamingo-chileno,Chilean Flamingo,NT,
Phoenicoparrus andinus,Phoenicopteriformes,Anatinae,Phoenicopteridae,flamingo-dos-andes,Andean Flamingo,VU,
Phoenicoparrus jamesi,Phoenicopteriformes,Anatinae,Phoenicopteridae,flamingo-da-puna,James's Flamingo,NT,
Aptenodytes patagonicus,Sphenisciformes,Anatinae,Spheniscidae,pinguim-rei,King Penguin,,
Spheniscus magellanicus,Sphenisciformes,Anatinae,Spheniscidae,pinguim,Magellanic Penguin,NT,
Eudyptes chrysolophus,Sphenisciformes,Anatinae,Spheniscidae,pinguim-macaroni,Macaroni Penguin,VU,
Eudyptes chrysocome,Sphenisciformes,Anatinae,Spheniscidae,pinguim-de-penacho-amarelo,Southern Rockhopper Penguin,VU,
Phoebetria fusca,Procellariiformes,Anatinae,Diomedeidae,piau-preto,Sooty Albatross,EN,
Phoebetria palpebrata,Procellariiformes,Anatinae,Diomedeidae,piau-de-costas-claras,Light-mantled Albatross,NT,
Thalassarche chlororhynchos,Procellariiformes,Anatinae,Diomedeidae,albatroz-de-nariz-amarelo,Yellow-nosed Albatross,EN,
Thalassarche melanophris,Procellariiformes,Anatinae,Diomedeidae,albatroz-de-sobrancelha,Black-browed Albatross,,
