Automolus lammi,Passeriformes,Philydorinae,Furnariidae,barranqueiro-do-nordeste,Pernambuco Foliage-gleaner,EN,
Automolus leucophthalmus,Passeriformes,Philydorinae,Furnariidae,barranqueiro-de-olho-branco,White-eyed Foliage-gleaner,,
Megaxenops parnaguae,Passeriformes,Philydorinae,Furnariidae,bico-virado-da-caatinga,Great Xenops,,
Anabazenops dorsalis,Passeriformes,Philydorinae,Furnariidae,barranqueiro-de-topete,Dusky-cheeked Foliage-gleaner,,
Anabazenops fuscus,Passeriformes,Philydorinae,Furnariidae,trepador-coleira,White-collared Foliage-gleaner,,
Anabacerthia ruficaudata,Passeriformes,Philydorinae,Furnariidae,limpa-folha-de-cauda-ruiva,Rufous-tailed Foliage-gleaner,,
Anabacerthia amaurotis,Passeriformes,Philydorinae,Furnariidae,limpa-folha-miúdo,White-browed Foliage-gleaner,NT,
Anabacerthia lichtensteini,Passeriformes,Philydorinae,Furnariidae,limpa-folha-ocráceo,Ochre-breasted Foliage-gleaner,,
Philydor erythrocercum,Passeriformes,Philydorinae,Furnariidae,limpa-folha-de-sobre-ruivo,Rufous-rumped Foliage-gleaner,,
Philydor erythropterum,Passeriformes,Philydorinae,Furnariidae,limpa-folha-de-asa-castanha,Chestnut-winged Foliage-gleaner,,
Philydor novaesi,Passeriformes,Philydorinae,Furnariidae,limpa-folha-do-nordeste,Alagoas Foliage-gleaner,CR,
Philydor atricapillus,Passeriformes,Philydorinae,Furnariidae,limpa-folha-coroado,Black-capped Foliage-gleaner,,
Philydor rufum,Passeriformes,Philydorinae,Furnariidae,limpa-folha-de-testa-baia,Buff-fronted Foliage-gleaner,,
Philydor pyrrhodes,Passeriformes,Philydorinae,Furnariidae,limpa-folha-vermelho,Cinnamon-rumped Foliage-gleaner,,
Heliobletus contaminatus,Passeriformes,Philydorinae,Furnariidae,trepadorzinho,Sharp-billed Treehunter,,
Syndactyla rufosuperciliata,Passeriformes,Philydorinae,Furnariidae,trepador-quiete,Buff-browed Foliage-gleaner,,
Syndactyla dimidiata,Passeriformes,Philydorinae,Furnariidae,limpa-folha-do-brejo,Russet-mantled Foliage-gleaner,,
Syndactyla roraimae,Passeriformes,Philydorinae,Furnariidae,barranqueiro-de-roraima,White-throated Foliage-gleaner,,
Syndactyla ucayalae,Passeriformes,Philydorinae,Furnariidae,limpa-folha-de-bico-virado,Peruvian Recurvebill,NT,
Cichlocolaptes mazarbarnetti,Passeriformes,Philydorinae,Furnariidae,trepador-do-nordeste,Cryptic Treehunter,CR(PE),
Cichlocolaptes leucophrus,Passeriformes,Philydorinae,Furnariidae,trepador-sobrancelha,Pale-browed Treehunter,,
Leptasthenura platensis,Passeriformes,Synallaxiinae,Furnariidae,rabudinho,Tufted Tit-Spinetail,,
Leptasthenura striolata,Passeriformes,Synallaxiinae,Furnariidae,grimpeirinho,Striolated Tit-Spinetail,,
Leptasthenura setaria,Passeriformes,Synallaxiinae,Furnariidae,grimpeiro,Araucaria Tit-Spinetail,NT,
Spartonoica maluroides,Passeriformes,Synallaxiinae,Furnariidae,boininha,Bay-capped Wren-Spinetail,NT,
Pseudoseisura cristata,Passeriformes,Synallaxiinae,Furnariidae,casaca-de-couro,Caatinga Cacholote,,
Pseudoseisura unirufa,Passeriformes,Synallaxiinae,Furnariidae,casaca-de-couro-de-crista-cinza,Rufous Cacholote,,
Pseudoseisura lophotes,Passeriformes,Synallaxiinae,Furnariidae,coperete,Brown Cacholote,,
Phacellodomus rufifrons,Passeriformes,Synallaxiinae,Furnariidae,joão-de-pau,Rufous-fronted Thornbird,,
Phacellodomus sibilatrix,Passeriformes,Synallaxiinae,Furnariidae,tio-tio-pequeno,Little Thornbird,,
Phacellodomus striaticollis,Passeriformes,Synallaxiinae,Furnariidae,tio-tio,Freckle-breasted Thornbird,,
Phacellodomus ruber,Passeriformes,Synallaxiinae,Furnariidae,graveteiro,Greater Thornbird,,
Phacellodomus erythrophthalmus,Passeriformes,Synallaxiinae,Furnariidae,joão-botina-da-mata,Orange-eyed Thornbird,,
Phacellodomus ferrugineigula,Passeriformes,Synallaxiinae,Furnariidae,joão-botina-do-brejo,Orange-breasted Thornbird,,
Anumbius annumbi,Passeriformes,Synallaxiinae,Furnariidae,cochicho,Firewood-Gatherer,,
Coryphistera alaudina,Passeriformes,Synallaxiinae,Furnariidae,corredor-crestudo,Lark-like Brushrunner,,
Mazaria propinqua,Passeriformes,Synallaxiinae,Furnariidae,joão-de-barriga-branca,White-bellied Spinetail,,
Schoeniophylax phryganophilus,Passeriformes,Synallaxiinae,Furnariidae,bichoita,Chotoy Spinetail,,
Certhiaxis cinnamomeus,Passeriformes,Synallaxiinae,Furnariidae,curutié,Yellow-chinned Spinetail,,
Certhiaxis mustelinus,Passeriformes,Synallaxiinae,Furnariidae,joão-da-canarana,Red-and-white Spinetail,,
Synallaxis hellmayri,Passeriformes,Synallaxiinae,Furnariidae,joão-chique-chique,Red-shouldered Spinetail,,
Synallaxis sp.cabanisi,Passeriformes,Synallaxiinae,Furnariidae,joão-do-norte,Amazonian Spinetail,NT,
Synallaxis ruficapilla,Passeriformes,Synallaxiinae,Furnariidae,pichororé,Rufous-capped Spinetail,,
Synallaxis cinerea,Passeriformes,Synallaxiinae,Furnariidae,joão-baiano,Bahia Spinetail,NT,
Synallaxis infuscata,Passeriformes,Synallaxiinae,Furnariidae,tatac,Pinto's Spinetail,EN,
Synallaxis cinerascens,Passeriformes,Synallaxiinae,Furnariidae,pi-puí,Gray-bellied Spinetail,,
Synallaxis frontalis,Passeriformes,Synallaxiinae,Furnariidae,petrim,Sooty-fronted Spinetail,,
Synallaxis albescens,Passeriformes,Synallaxiinae,Furnariidae,uí-pi,Pale-breasted Spinetail,,
Synallaxis albigularis,Passeriformes,Synallaxiinae,Furnariidae,joão-de-peito-escuro,Dark-breasted Spinetail,,
Synallaxis spixi,Passeriformes,Synallaxiinae,Furnariidae,joão-teneném,Spix's Spinetail,,
Synallaxis hypospodia,Passeriformes,Synallaxiinae,Furnariidae,joão-grilo,Cinereous-breasted Spinetail,,
Synallaxis rutilans,Passeriformes,Synallaxiinae,Furnariidae,joão-teneném-castanho,Ruddy Spinetail,,
Synallaxis cherriei,Passeriformes,Synallaxiinae,Furnariidae,puruchém,Chestnut-throated Spinetail,NT,
Synallaxis macconnelli,Passeriformes,Synallaxiinae,Furnariidae,joão-escuro,McConnell's Spinetail,,
Synallaxis gujanensis,Passeriformes,Synallaxiinae,Furnariidae,joão-teneném-becuá,Plain-crowned Spinetail,,
Synallaxis albilora,Passeriformes,Synallaxiinae,Furnariidae,joão-do-pantanal,White-lored Spinetail,,
Synallaxis simoni,Passeriformes,Synallaxiinae,Furnariidae,joão-do-araguaia,Araguaia Spinetail,,
Synallaxis scutata,Passeriformes,Synallaxiinae,Furnariidae,estrelinha-preta,Ochre-cheeked Spinetail,,
Synallaxis kollari,Passeriformes,Synallaxiinae,Furnariidae,joão-de-barba-grisalha,Hoary-throated Spinetail,CR,
Asthenes baeri,Passeriformes,Synallaxiinae,Furnariidae,lenheiro,Short-billed Canastero,,
Asthenes luizae,Passeriformes,Synallaxiinae,Furnariidae,lenheiro-da-serra-do-cipó,Cipo Canastero,NT,
Asthenes pyrrholeuca,Passeriformes,Synallaxiinae,Furnariidae,lenheiro-de-rabo-comprido,Sharp-billed Canastero,,
Asthenes moreirae,Passeriformes,Synallaxiinae,Furnariidae,garrincha-chorona,Itatiaia Spinetail,,
Asthenes hudsoni,Passeriformes,Synallaxiinae,Furnariidae,joão-platino,Hudson's Canastero,NT,
Acrobatornis fonsecai,Passeriformes,Synallaxiinae,Furnariidae,acrobata,Pink-legged Graveteiro,VU,
Metopothrix aurantiaca,Passeriformes,Synallaxiinae,Furnariidae,joão-folheiro,Orange-fronted Plushcrown,,
Limnoctites rectirostris,Passeriformes,Synallaxiinae,Furnariidae,arredio-do-gravatá,Straight-billed Reedhaunter,NT,
Cranioleuca vulpina,Passeriformes,Synallaxiinae,Furnariidae,arredio-do-rio,Rusty-backed Spinetail,,
Cranioleuca vulpecula,Passeriformes,Synallaxiinae,Furnariidae,arredio-de-peito-branco,Parker's Spinetail,,
Cranioleuca sulphurifera,Passeriformes,Synallaxiinae,Furnariidae,arredio-de-papo-manchado,Sulphur-throated Spinetail,,
Cranioleuca pyrrhophia,Passeriformes,Synallaxiinae,Furnariidae,arredio,Stripe-crowned Spinetail,,
Cranioleuca obsoleta,Passeriformes,Synallaxiinae,Furnariidae,arredio-oliváceo,Olive Spinetail,,
Cranioleuca pallida,Passeriformes,Synallaxiinae,Furnariidae,arredio-pálido,Pallid Spinetail,,
Cranioleuca semicinerea,Passeriformes,Synallaxiinae,Furnariidae,joão-de-cabeça-cinza,Gray-headed Spinetail,,
Cranioleuca demissa,Passeriformes,Synallaxiinae,Furnariidae,joão-do-tepui,Tepui Spinetail,,
Cranioleuca gutturata,Passeriformes,Synallaxiinae,Furnariidae,joão-pintado,Speckled Spinetail,,
Cranioleuca muelleri,Passeriformes,Synallaxiinae,Furnariidae,joão-escamoso,Scaled Spinetail,EN,
Thripophaga macroura,Passeriformes,Synallaxiinae,Furnariidae,rabo-amarelo,Striated Softtail,VU,
Thripophaga fusciceps,Passeriformes,Synallaxiinae,Furnariidae,joão-liso,Plain Softtail,,
Roraimia adusta,Passeriformes,Synallaxiinae,Furnariidae,joão-de-roraima,Roraiman Barbtail,,
Neopelma pallescens,Passeriformes,Neopelminae,Pipridae,fruxu-do-cerradão,Pale-bellied Tyrant-Manakin,,
Neopelma chrysocephalum,Passeriformes,Neopelminae,Pipridae,fruxu-do-carrasco,Saffron-crested Tyrant-Manakin,,
Neopelma aurifrons,Passeriformes,Neopelminae,Pipridae,fruxu-baiano,Wied's Tyrant-Manakin,VU,
Neopelma chrysolophum,Passeriformes,Neopelminae,Pipridae,fruxu,Serra do Mar Tyrant-Manakin,,
Neopelma sulphureiventer,Passeriformes,Neopelminae,Pipridae,fruxu-de-barriga-amarela,Sulphur-bellied Tyrant-Manakin,,
Tyranneutes stolzmanni,Passeriformes,Neopelminae,Pipridae,uirapuruzinho,Dwarf Tyrant-Manakin,,
Tyranneutes virescens,Passeriformes,Neopelminae,Pipridae,uirapuruzinho-do-norte,Tiny Tyrant-Manakin,,
Pipra aureola,Passeriformes,Piprinae,Pipridae,uirapuru-vermelho,Crimson-hooded Manakin,,
Pipra filicauda,Passeriformes,Piprinae,Pipridae,rabo-de-arame,Wire-tailed Manakin,,
Pipra fasciicauda,Passeriformes,Piprinae,Pipridae,uirapuru-laranja,Band-tailed Manakin,,
